format,input_dtype,output_dtype,mode,round,distribution,max_abs,mae,mse,payload_ratio,file_ratio
0,0,1,1,1,uniform,0.0624195337296,0.0140471065426,0.000379275295509,3.99993990746,3.99394084828
0,0,1,1,1,normal,0.290615081787,0.024015830566,0.00142303722403,3.99993990746,3.99394084828
0,0,1,1,1,outliers,15.1831512451,0.0466828327,0.128710390526,3.99993990746,3.99394084828
0,0,2,0,0,uniform,0.0312486886978,0.0104884350267,0.000188317408751,3.86567164179,3.86009161014
0,0,2,0,0,normal,0.209384918213,0.0179448645904,0.000703664099291,3.86567164179,3.86009161014
0,0,2,0,0,outliers,14.1752929688,0.0348602358058,0.0626524289921,3.86567164179,3.86009161014
0,0,2,0,1,uniform,0.0624195337296,0.0140471065426,0.000379275295509,3.86567164179,3.86009161014
0,0,2,0,1,normal,0.290615081787,0.0240158301075,0.00142303722402,3.86567164179,3.86009161014
0,0,2,0,1,outliers,15.1831512451,0.046677273901,0.128710383528,3.86567164179,3.86009161014
0,0,2,1,0,uniform,0.0312486886978,0.0104884350267,0.000188317408751,3.99993990746,3.99394084828
0,0,2,1,0,normal,0.209384918213,0.0179448650183,0.000703664099297,3.99993990746,3.99394084828
0,0,2,1,0,outliers,14.1752929688,0.0348644839673,0.0626524326062,3.99993990746,3.99394084828
0,0,2,1,1,uniform,0.0624195337296,0.0140471065426,0.000379275295509,3.99993990746,3.99394084828
0,0,2,1,1,normal,0.290615081787,0.024015830566,0.00142303722403,3.99993990746,3.99394084828
0,0,2,1,1,outliers,15.1831512451,0.0466828327,0.128710390526,3.99993990746,3.99394084828
0,1,0,0,0,uniform,0.03125,0.0104889629294,0.000188360429158,1.9328358209,1.93039369166
0,1,0,0,0,normal,0.2109375,0.0179455461545,0.000703797329023,1.9328358209,1.93039369166
0,1,0,0,0,outliers,14.25,0.0348546550016,0.0626971338026,1.9328358209,1.93039369166
0,1,0,0,1,uniform,0.06201171875,0.0140474777143,0.000379284918013,1.9328358209,1.93039369166
0,1,0,0,1,normal,0.2890625,0.0240199796648,0.00142419405672,1.9328358209,1.93039369166
0,1,0,0,1,outliers,15.125,0.0466738204003,0.128737687704,1.9328358209,1.93039369166
0,1,0,1,0,uniform,0.03125,0.0104889629294,0.000188360429158,1.99996995373,1.99733037375
0,1,0,1,0,normal,0.2109375,0.0179455465808,0.000703797329029,1.99996995373,1.99733037375
0,1,0,1,0,outliers,14.25,0.0348589027372,0.062697137416,1.99996995373,1.99733037375
